1,2,3,4,5
-5.123276856,-1.622497978,-1.781801799,-2.063834592,-1.681388739
-5.416086865,-1.993386391,-1.273605768,-1.862176047,-1.478688155
-4.916714102,-2.356630746,-1.48765108,-1.865066124,-1.51620604
-4.814688087,-2.344359031,-2.190545278,-1.475030296,-1.592847578
-4.512951801,-1.942676247,-1.516350266,-2.02444779,-1.42124772
-5.040333069,-2.19538246,-1.914104161,-1.293066814,-1.19400413
-5.415870072,-1.814778816,-1.516132414,-1.698253499,-1.433013537
-4.12987951,-1.544739137,-1.679235553,-1.295768911,-1.13405836
-4.396287591,-1.50551778,-1.67033785,-1.48894128,-1.543824457
-4.958599493,-1.52847689,-1.983114204,-2.012872938,-1.957241529
-4.92146033,-2.188244759,-1.603810645,-1.338713911,-1.197087172
-5.247601242,-1.706788666,-2.244324182,-2.122699609,-1.649158381
-5.281107985,-1.502120461,-1.454978868,-1.40917065,-1.624085161
-5.325878442,-1.745952511,-2.075087783,-1.990411933,-1.511423995
-4.878679044,-1.802829466,-1.821245162,-1.283577292,-1.467231377
-5.285773131,-1.686450085,-1.420991375,-1.579337126,-1.580406038
-4.979586224,-1.503792194,-1.745977658,-1.463073247,-1.132988988
-5.364257706,-1.89074222,-1.989359879,-1.633062112,-1.857988776
-4.909350223,-2.251600962,-1.835244712,-1.867022949,-1.295660802
-5.268708413,-2.239046057,-1.579324996,-1.83259471,-1.186118721
-5.230306297,-1.395079584,-1.500005671,-1.756834549,-1.617041746
-5.231888184,-1.84443578,-1.950898213,-1.530871711,-1.425619246
-5.261435742,-1.523841514,-1.580727093,-1.660733265,-1.561066519
1.893926787,7.472046606,2.073138944,2.63468393,2.462898859
1.872523811,7.730078073,2.510995188,2.458895206,2.46456098
2.312438248,7.687974561,2.326569646,2.782500706,2.744329013
2.090883702,7.405251419,2.450357163,3.191505843,2.426239793
2.295972413,7.114361894,2.84154103,2.505848762,2.585690163
2.498840746,7.29216063,2.468255566,2.975176362,2.710136521
2.446488749,7.667573037,2.530447004,2.691375674,2.744934495
2.23717261,7.495091802,2.629610077,1.993127193,2.656684793
2.071462658,7.890926514,2.7645896,2.683327388,2.775181499
2.656136032,7.896358659,2.786348712,1.835991875,2.548225824
2.553185458,7.455526331,2.604562813,2.543814691,2.488067533
2.000396221,7.932483533,2.111839966,2.35163648,2.663855044
2.201834767,7.65920049,2.23927155,1.976891209,2.54142335
2.236812537,7.245802788,2.181933161,2.825106373,2.599705566
2.009997869,7.408157579,2.48690096,2.863235358,2.561799164
2.239271151,7.516557521,2.718779389,2.533894581,2.326548058
2.012657385,7.546572315,2.346389736,2.346018547,3.305328217
2.654482465,7.383830739,2.743186753,2.315544329,3.077796987
1.96920889,7.4878102,1.652018978,2.301667404,2.32337587
1.880260749,7.923983125,2.363065272,2.788949429,2.579069681
2.169738078,6.838638013,2.258088337,2.206840521,2.164575528
2.1112772,7.489812292,3.178087227,2.661085848,2.337759438
2.471773976,7.033296005,1.942175245,2.613910073,2.533573286
2.022558522,7.402438025,2.395948767,2.157740842,2.800676587
1.833475289,7.440409203,2.410163958,2.592753425,2.184111304
