,Cell,x,y,m
189,1227,-73.7602729,40.67054288,0
190,1228,-73.74185197,40.67071347,0
191,1229,-73.73010926,40.67019927,0
192,1311,-74.04452769,40.68924839,0
193,1312,-74.02348468,40.68822989,0
194,1313,-74.00896269,40.68011027,0
195,1314,-73.99325201,40.68492909,0
196,1315,-73.97614386,40.68391271,0
197,1316,-73.95707429,40.6841611,0
198,1317,-73.94054279,40.68451671,0
199,1318,-73.92195509,40.68467117,0
200,1319,-73.90768677,40.68326669,0
201,1320,-73.88578933,40.68099066,0
202,1321,-73.86807005,40.68403641,0
203,1322,-73.84985415,40.68450045,0
204,1323,-73.83197212,40.68503575,0
205,1324,-73.81499874,40.68449835,0
206,1325,-73.79508905,40.68467015,0
207,1326,-73.77870618,40.68461061,0
208,1327,-73.76007732,40.68427338,0
209,1328,-73.74277744,40.68303146,0
210,1329,-73.72916493,40.68351917,0
211,1413,-74.01099288,40.70363401,1
212,1414,-73.99180479,40.69621105,0
213,1415,-73.97646456,40.69552833,0
214,1416,-73.95752931,40.69672051,0
215,1417,-73.94045221,40.69694148,0
216,1418,-73.92212057,40.6982814,0
217,1419,-73.90604243,40.69828782,0
218,1420,-73.88796956,40.70079721,0
219,1421,-73.86587579,40.69756652,0
220,1422,-73.8502848,40.69559673,0
221,1423,-73.83182525,40.69597803,0
222,1424,-73.81276938,40.69799439,0
223,1425,-73.79570428,40.69740428,0
224,1426,-73.77958995,40.69818178,0
225,1427,-73.75985784,40.69767563,0
226,1428,-73.74296482,40.69781136,0
227,1429,-73.73028937,40.69682369,0
228,1513,-74.00918854,40.7106876,1
229,1514,-73.99431607,40.7150381,1
230,1515,-73.97868719,40.71388224,1
231,1516,-73.9576567,40.7117966,0
232,1517,-73.94167891,40.71163396,0
233,1518,-73.9209852,40.70815268,0
234,1519,-73.90437067,40.71029851,0
235,1520,-73.88365103,40.71194053,0
236,1521,-73.86936117,40.71070554,0
237,1522,-73.85142926,40.71223312,0
238,1523,-73.83170019,40.71119182,0
239,1524,-73.81323368,40.71061915,0
240,1525,-73.79500738,40.70975308,0
241,1526,-73.77807344,40.71134402,0
242,1527,-73.76049266,40.71144905,0
243,1528,-73.74156048,40.71235236,0
244,1529,-73.73066178,40.71074878,0
245,1613,-74.00676746,40.72505106,1
246,1614,-73.99365336,40.72481545,1
247,1615,-73.98113647,40.7258901,1
248,1616,-73.95577578,40.72461527,0
249,1617,-73.94240593,40.72385446,0
250,1618,-73.92157991,40.72643961,0
251,1619,-73.9032511,40.72464756,0
252,1620,-73.88650571,40.72583912,0
253,1621,-73.8667931,40.72665656,0
254,1622,-73.85130199,40.72588635,0
255,1623,-73.83094915,40.72481395,0
256,1624,-73.81423301,40.72505262,0
257,1625,-73.79685635,40.7255146,0
258,1626,-73.77935714,40.72572723,0
259,1627,-73.75824016,40.72326225,0
260,1628,-73.74188351,40.72518589,0
261,1629,-73.7256313,40.72653945,0
262,1630,-73.71078661,40.72952061,0
263,1713,-74.00590136,40.73737349,1
264,1714,-73.99470687,40.73888365,1
265,1715,-73.98028002,40.74058785,1
266,1716,-73.95487603,40.73819636,0
267,1717,-73.93829065,40.74091723,0
268,1718,-73.92188811,40.74163322,0
269,1719,-73.90312347,40.74123604,0
270,1720,-73.88492738,40.74026723,0
271,1721,-73.86779001,40.73901167,0
272,1722,-73.85346172,40.73835343,0
273,1723,-73.82767236,40.74139055,0
274,1724,-73.81364873,40.73861466,0
275,1725,-73.79523873,40.73753187,0
276,1726,-73.77883266,40.73822392,0
277,1727,-73.75899863,40.73786893,0
278,1728,-73.74257571,40.73676408,0
279,1729,-73.72014343,40.73882904,0
280,1730,-73.70859082,40.73869655,0
281,1813,-74.00504834,40.74969508,1
282,1814,-73.99209629,40.75272771,1
283,1815,-73.97668935,40.75318641,1
284,1816,-73.96151461,40.75513088,1
285,1817,-73.9390615,40.75299464,0
286,1818,-73.92159908,40.75362359,0
287,1819,-73.9032659,40.75183865,0
288,1820,-73.88544687,40.75179024,0
289,1821,-73.86894944,40.75261209,0
290,1822,-73.85424684,40.75319752,0
291,1823,-73.82876935,40.7544454,0
292,1824,-73.8159213,40.75462307,0
293,1825,-73.7955397,40.75407649,0
294,1826,-73.77756302,40.75336959,0
295,1827,-73.76051631,40.75257332,0
296,1828,-73.74212019,40.75264136,0
297,1829,-73.72326124,40.75305676,0
298,1830,-73.70671971,40.74977861,0
299,1913,-74.00351227,40.76053189,1
300,1914,-73.99054355,40.76432085,1
301,1915,-73.97798696,40.76478872,1
302,1916,-73.95880241,40.76748921,1
303,1917,-73.9392297,40.76706717,0
304,1918,-73.9215876,40.76591354,0
305,1919,-73.90711558,40.76705099,0
306,1920,-73.88590128,40.76494703,0
307,1921,-73.87012163,40.76380044,0
308,1922,-73.84555891,40.76620685,0
309,1923,-73.82925307,40.76409225,0
310,1924,-73.81516958,40.76481967,0
311,1925,-73.79573221,40.76580524,0
312,1926,-73.775737,40.76503128,0
313,1927,-73.76235882,40.76436393,0
314,1928,-73.7399232,40.76705185,0
315,1929,-73.72656618,40.76373571,0
316,1930,-73.71372514,40.75995667,0
317,2014,-73.98756869,40.77688161,1
318,2015,-73.97853254,40.7806262,1
319,2016,-73.95482131,40.77913668,1
320,2017,-73.94561271,40.7797877,1
321,2018,-73.91923619,40.77758007,0
322,2019,-73.9070481,40.77673695,0
323,2020,-73.87944847,40.77450393,0
324,2021,-73.87285697,40.77434195,0
325,2022,-73.84608965,40.78158684,0
326,2023,-73.83297842,40.78180396,0
327,2024,-73.81451239,40.78058666,0
328,2025,-73.79715073,40.77993913,0
329,2026,-73.77892995,40.78086242,0
330,2027,-73.75310521,40.77712856,0
331,2028,-73.74411729,40.77571349,0
332,2115,-73.97266007,40.79295304,1
333,2116,-73.95809739,40.79632901,1
334,2117,-73.94131049,40.79502087,0
335,2118,-73.92641197,40.7970434,0
336,2119,-73.91044774,40.79883396,0
337,2120,-73.88431341,40.79133806,0
338,2122,-73.84628962,40.79041122,0
339,2123,-73.83182179,40.79047808,0
340,2124,-73.81409417,40.79186931,0
341,2125,-73.79936612,40.79103512,0
342,2126,-73.78155895,40.78847052,0
343,2215,-73.96827439,40.80252395,1
344,2216,-73.9565532,40.80708648,0
345,2217,-73.94190228,40.80791574,0
346,2218,-73.91969878,40.80862376,0
347,2219,-73.90564926,40.8115436,0
348,2220,-73.88735048,40.81160657,0
349,2221,-73.86256488,40.81287311,0
350,2222,-73.85442486,40.81026671,0
351,2223,-73.82558259,40.81337,0
352,2224,-73.81396664,40.81329252,0
353,2225,-73.80325533,40.81041944,0
354,2316,-73.9532669,40.82187087,0
355,2317,-73.94224147,40.82198305,0
356,2318,-73.92121362,40.82255697,0
357,2319,-73.90343213,40.82082132,0
358,2320,-73.88515993,40.82303644,0
359,2321,-73.8694869,40.82357018,0
360,2322,-73.85210856,40.82184404,0
361,2323,-73.82731528,40.82165214,0
362,2324,-73.8157797,40.82086496,0
363,2325,-73.80192681,40.81608808,0
364,2416,-73.94978227,40.82975242,0
365,2417,-73.94231285,40.83461135,0
366,2418,-73.92090911,40.83479619,0
367,2419,-73.90553971,40.8341818,0
368,2420,-73.88598567,40.8344765,0
369,2421,-73.8681572,40.83444617,0
370,2422,-73.8511328,40.83504212,0
371,2423,-73.83015535,40.83605746,0
372,2424,-73.81871893,40.8334347,0
373,2425,-73.78701622,40.84124395,0
374,2426,-73.78398632,40.83986114,0
375,2517,-73.93647011,40.84827976,0
376,2518,-73.92090664,40.84950544,0
377,2519,-73.9055365,40.84971638,0
378,2520,-73.88711975,40.84918333,0
379,2521,-73.86539713,40.85019506,0
380,2522,-73.85105232,40.84773116,0
381,2523,-73.83043904,40.84753172,0
382,2524,-73.81959698,40.84509768,0
383,2525,-73.78838135,40.84875166,0
384,2526,-73.78527014,40.84544529,0
385,2617,-73.93324842,40.85727187,0
386,2618,-73.92507206,40.86351623,0
387,2619,-73.90163239,40.86169394,0
388,2620,-73.89038771,40.86341844,0
389,2621,-73.86633136,40.86259491,0
390,2622,-73.8494275,40.86315551,0
391,2623,-73.83360193,40.86376788,0
392,2624,-73.82102367,40.86471398,0
393,2625,-73.79176529,40.85681496,0
394,2718,-73.91749301,40.87438567,0
395,2719,-73.9042107,40.87572853,0
396,2720,-73.88422872,40.87533382,0
397,2721,-73.86862324,40.87619406,0
398,2722,-73.85038302,40.87656635,0
399,2723,-73.83390571,40.87610193,0
400,2724,-73.81168099,40.87470451,0
401,2725,-73.80165951,40.87573299,0
402,2818,-73.91515528,40.88753854,0
403,2819,-73.90183503,40.88635926,0
404,2820,-73.88392119,40.8849749,0
405,2821,-73.86230567,40.88926151,0
406,2822,-73.8520965,40.89021081,0
407,2823,-73.83371052,40.88874255,0
408,2824,-73.81799388,40.88817262,0
409,2825,-73.7966008,40.88418471,0
410,2918,-73.9135567,40.90321736,0
411,2919,-73.90154393,40.90524517,0
412,2920,-73.89055405,40.90257856,0
413,2921,-73.86695143,40.89900406,0
414,2922,-73.8500218,40.90151837,0
415,2923,-73.84014817,40.90007952,0
416,3019,-73.90010548,40.91169169,0
